"","x"
"11","The Neolithic Demographic Transition in the U.S. Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"12","Excavation of a Portion of the San Pedro Acequia (41BX337) via Metropolitan Transit System Parking Lot, San Antonio, Bexar County, Texas; Excavations of Portions of the San Pedro Acequia (41BX337) and a Search fro the Arocha Acequia, San Antonio, Texas; Documentation of the San Pedro Acequia (41BX337) at Trevino Street, San Antonio, Texas; Excavation of the San Pedro Acequia on the Grounds of the San Antonio Housing Authority"
"13","An Archaeological Assessment of San Pedro Park, (41BX19) San Antonio, Texas; Archaeological Investigations within San Pedro Springs Park (41BX19), San Antonio, Bexar County, Texas; Archaeological Survey and Testing in San Pedro Park (41BX19), San Antonio, Texas; San Pedro Springs Park Improvements Archaeological Testing and Monitoring at 41BX19, San Antonio, Bexar County, Texas"
"14","Archaeological Testing and Preliminary Archival Investigations of the Ruben Hancock Site, 41TV875 Travis County, Texas; Research Design for Investigations at the Ruben Hancock Site, 41TV875 Travis County, Texas; The Prehistoric Components at the Rubin Hancock Farmstead, 41TV875, Travis County, Texas; After Slavery: The Rubin Hancock Farmstead, 1880-1916, Travis County, Texas"
"15","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; Archeological Investigations at the Kitchen Branch (41CP220), B. J. Horton (41CP20), and Keering (41CP21) Sites, Big Cypress Creek Basin, Camp County, Texas"
"16","Data Recovery and Analysis at the Texas State University Ticket Kiosk Project, Located at 41HY160, Spring Lake, Hays County, Texas; Archaeological Testing at San Marcos Springs (41HY160) for the Texas Rivers Center, Hays County, Texas; Results of Cultural Resources Survey for the Spring Lake Section 206 Aquatic Ecosystem Restoration Project, Texas State University-San Marcos, Hays County, Texas"
"17","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Archaeological investigations at the last Spanish Colonial mission establised on the Texas frontier: Nuestra Senora del Rufugio (41RF1), Refugio County, Texas"
"18","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; The Neolithic Demographic Transition in the U.S. Southwest"
"19","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"20","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"21","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; The Neolithic Demographic Transition in the U.S. Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"22","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; The Neolithic Demographic Transition in the U.S. Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"23","The Neolithic Demographic Transition in the U.S. Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"24","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; National Register of Historic Places Eligibility Testing of Site 41SM385 Within TxDOT's Tyler District, Smith County, Texas"
"25","Archaeological Investigations of Areas Slated for Expansion at Fort Sam Houston National Cemetery, San Antonio, Texas; Archaeological Survey of the Proposed Medina River Park, Bexar County, Texas; Archaeological Investigations of Areas Slated for Expansion at Fort Sam Houston National Cemetery, San Antonio, Texas"
"26","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; Archeological Investigations at the Lang Pasture Site (41AN38) in the Upper Neches River Basin of East Texas"
"27","Plazas as Architecture: An Example from the Raffman Site, Northeast Louisiana; Accelerator Mass Spectrometry Radiocarbon Dating of Temper in Shell-Tempered Ceramics: Test Cases from Mississippi, Southeastern United States; Sociopolitical Implications of Mississippian Mound Volume"
"28","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"29","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"30","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"31","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"32","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"33","The Depopulation of Sand Canyon Pueblo; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"34","Bear's Journey and the Study of Ritual in Archaeology: Some Comments on Howey and O'Shea's Midewiwin Paper; Bear's Journey and the Study of Ritual in Archaeology"
"35","Bear's Journey and the Study of Ritual in Archaeology; Bear's Journey and the Study of Ritual in Archaeology: Some Comments on Howey and O'Shea's Midewiwin Paper"
"36","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"37","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; Caddo Populations in Northeast Texas: A Response to Taylor and Creel"
"38","Archaeological Testing for the Walker Ranch Park Bridge Project (41BX1271), San Antonio, Bexar County, Texas; An Archaeological Survey of Walker Ranch Park, Bexar County, Texas; Archaeological Survey and Geoarchaeological Investigations at 41BX1271, Walker Ranch Park, Bexar County, Texas"
"39","Plazas as Architecture: An Example from the Raffman Site, Northeast Louisiana; Place of Origin of Prehistoric Inhabitants of Aztalan, Jefferson Co., Wisconsin; Sociopolitical Implications of Mississippian Mound Volume"
"40","Prehistoric Life along the Banks of Spring Lake: Results and Analysis of the Southwest Texas State Field Schools (1996–1998) at 41HY165, San Marcos, Hays County, Texas; Results of Cultural Resources Survey for the Spring Lake Section 206 Aquatic Ecosystem Restoration Project, Texas State University-San Marcos, Hays County, Texas"
"41","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"42","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"43","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"44","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"45","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"46","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"47","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"48","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"49","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"50","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"51","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"52","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"53","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"54","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"55","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"56","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2"
"57","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"58","Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 2; Archaeological Testing to Determine the National Register Eligibility Status of 18 Prehistoric Sites on Camp Bowie, Brown County, Texas Volume 1"
"59","Archaeological Investigations at the Ice House Site, 41HY161: Early Archaic Technology, Subsistence, and Settlement Along the Balcones Escarpment, Hays County, Texas; Archaeological Testing at the Headwaters of the San Marcos River: Southwest Texas State University Raw Water Supply Project"
"60","Long View (41RB112): Data Recovery of Two Plains Village Period Components in Roberts County, Texas, Volume 1; Long View (41RB112): Data Recovery of Two Plains Village Period Components in Roberts County, Texas, Volume 2"
"61","An Intensive Pedestrian Archaeological Survey of the Salado Creek Greenway, Wetmore Avenue to Eisenhauer Road, San Antonio, Bexar County, Texas Phase II: N. E. Loop 410 to Wetmore Avenue; National Register of Historic Places Eligibility Testing of 41BX1764 (The Dos Mujeres Site), Bexar County, Texas"
"62","Bioarchaeological Investigations of Nineteenth-Century African American Burials at the Pioneer Cemetery (41BO202) in Brazoria, Texas; Archeological Excavation and Reburial of Unmarked Historic Graves in the Pioneer Cemetery (41BO202), Brazoria County, Texas"
"63","Archaeological Studies for the San Antonio Channel Improvement Project, including Investigations at Guenther's Upper Mill (41BX342); Archaeological Studies for the San Antonio Channel Improvement Project, Including Investigations at Guenther's Upper Mill (41BX342)"
"64","Archeological Testing and Data Recovery at 41ZV202, Zavala County, Texas; Archeological Survey and Testing of Selected Prehistoric Sites along FM 481, Zavala County, Texas"
"65","The Panther Springs Creek Site: Cultural Change and Continuity within the Upper Salado Creek Watershed, South-Central Texas; Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"66","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"67","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"68","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"69","Archaeological Testing of Resources Within the Shafter Historic Mining District US Highway 67, Presidio County, Texas; Research Design for Mitigation of Archaeological Resources Archaeological Site 41PS109 Shafter Historic Mining District Presidio County, Texas"
"70","Excavations at Site 41FY11: Cultural Resource Investigations Along the Proposed Bypass for SH 71, Near La Grange Fayette County, Texas; A Reappraisal of the Archaeological Resources Along the Proposed LaGrange Bypass, Alternate Route A, Fayette County, Texas"
"71","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"72","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"73","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"74","Archaeological Survey for Proposed Landfill Expansion (Phase I), City of Del Rio, Val Verde County, Texas; Archaeological Testing for a Proposed Landfill Expansion (Phase II) City of Del Rio, Val Verde County, Texas"
"75","Archaeological Testing (Phase II) of Prehistoric Site 41BX785 for the West Salado Creek Outfall Project, Bexar County, Texas; An Archaeological Assessment (Phase I) of the West Salado Creek Outfall Project, Southeastern Bexar County"
"76","Archaeological Survey for the Proposed Seton Home Campus Expansion, City of San Antonio, Bexar County, Texas; Archaeological Survey for the Proposed St. Peter-St. Joseph Children's Home Expansion, City of San Antonio, Bexar County, Texas"
"77","The Neolithic Demographic Transition in the U.S. Southwest; The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"78","The Neolithic Demographic Transition in the U.S. Southwest; The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest"
"79","Archaeological Evaluation of Sandy Mantle Prehistoric and Historic Sites at Camp Swift, Bastrop County, Texas: 2003; An Archaeological Inventory of Camp Swift, Bastrop County, Texas"
"80","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas; Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"81","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas; Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"82","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas; Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"83","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas; Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"84","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas; Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"85","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas; Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"86","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas; Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas"
"87","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas; Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"88","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas; Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"89","Camp Maxey III Archaeological Testing of 23 Prehistoric Sites, Lamar County, Texas; Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"90","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"91","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"92","Archeological and Geoarcheological Survey of State Highway 35 between Angleton and Old Ocean, Brazoria County, Texas; National Register Eligibility Testing of Site 41BO184, Brazoria County, Texas"
"93","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"94","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"95","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"96","Archeological Survey for the Loop 410 Improvements Project City of San Antonio, Bexar County, Texas; National Register of Historic Places (NRHP) Eligibility Testing of 41BX1749, Bexar County, Texas"
"97","Spanish Colonial Documents Pertaining to Mission Santa Cruz de San Saba (41MN23), Menard County, Texas; A Reconnaissance of a Channel Dam Site and Flood Area on the San Saba River, Menard County, Texas"
"98","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"99","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"100","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"101","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"102","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"103","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"104","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"105","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"106","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"107","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"108","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"109","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"110","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"111","On Bonfire Shelter (Texas) as a Paleoindian Bison Jump: An Assessment Using GIS and Zooarchaeology; A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"112","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting; Climate Change and the Archaic to Woodland Transition (3000-2500 Cal B.P.) in the Mississippi River Basin"
"113","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"114","National Register Eligibility Testing of 41MM340 and 41MM341, along Little River, Milam County, Texas; Data Recovery Excavations at the J. B. White Site (41MM341), Milam County, Texas"
"115","Archeological Testing of Sites 41WB437 and 41WB438 Webb County, Texas; The Lino Site: A Stratified Late Archaic Campsite in a Terrace of the San Idelfonzo Creek, Webb County, Southern Texas"
"116","Research Design Proposal for Investigation of Site 41TV338 In the Barton Creek Drainage Travis County, Texas; Preliminary Report of Testing of Sites 41TV338 and 41TV386 In the Barton Creek Drainage Travis County, Texas"
"117","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest; Place of Origin of Prehistoric Inhabitants of Aztalan, Jefferson Co., Wisconsin"
"118","Monitoring of Construction at Site 41BX1199, Government Canyon State Natural Area, Bexar County, Texas; Archaeological Testing of Site 41BX1199, Government Canyon State Natural Area, Bexar County, Texas"
"119","The Medio Creek Site (41BX1421): National Register Test Excavations, Bexar County, Texas; The Medio Creek Site (41BX1421): National Register Test Excavations, Bexar County Texas"
"120","Cultural Resources Inventory at Lake Corpus Christi State Park, San Patricio County, Texas; An Archaeological Survey of a Proposed Well Pad in the Vicinity of Lake Corpus Christi, San Particio County, Texas"
"121","Archaeological Investigation of the Southeast Building Complex, Old Ursuline Academy Campus, 41BX235, San Antonio, Texas; 1975 Archaeological Investigations at Old Ursuline Academy San Antonio, Texas"
"122","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"123","The Neolithic Demographic Transition in the U.S. Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"124","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; The Neolithic Demographic Transition in the U.S. Southwest"
